Date,Description,Amount,Type
2025-07-07,Dell - XPS Laptop,-1750.00,Expense
2025-07-08,Intercom - Customer Support Subscription,-79.00,Expense
2025-07-09,Bank of America - Wire Transfer Fee,-25.00,Expense
2025-07-10,ACH - Invoice Payment from Acme Corp,3200.00,Income
2025-07-06,Upwork - Freelancer Payment,-1200.00,Expense
2025-07-01,Stripe - Payout Fee,-12.50,Expense
2025-07-02,United Airlines - Flight to NYC,-425.00,Expense
2025-07-03,Starbucks - Team Coffee,-18.90,Expense
2025-07-04,Notion Labs Inc,-8.00,Expense
2025-07-05,Google Ads - July Spend,-250.00,Expense
