date,description,amount,type,notes,category,gl_code
2025-07-07,Dell - XPS Laptop,-1750.00,Expense,Purchase of a Dell XPS Laptop for business use,IT,7200
2025-07-08,Intercom - Customer Support Subscription,-$79.00,Expense,Monthly subscription fee for customer support software Intercom,SOFTWARE,6310
2025-07-09,Bank of America - Wire Transfer Fee,-$25.00,Expense,Fee charged by Bank of America for wire transfer service,BANK,6800
2025-07-10,ACH - Invoice Payment from Acme Corp,3200.00,Income,Received payment from Acme Corp via ACH for invoice,INCOME,8000
2025-07-06,Upwork - Freelancer Payment,-$1200.00,Expense,Payment made to a freelancer via Upwork platform,CONTRACTOR,7100
2025-07-01,Stripe - Payout Fee,-$12.50,Expense,Fee charged by Stripe for processing payout,BANK,6800
2025-07-02,United Airlines - Flight to NYC,-425.00,Expense,Expense for airline flight via United Airlines to New York City,TRAVEL,6600
2025-07-03,Starbucks - Team Coffee,-$18.90,Expense,"Purchase of coffee for the team at Starbucks, categorized as meals or refreshments during work hours.",MEALS,6610
2025-07-04,Notion Labs Inc,-$8.00,Expense,"Subscription or purchase from Notion Labs, a software service.",SOFTWARE,6310
2025-07-05,Google Ads - July Spend,-$250.00,Expense,Payment for Google Ads advertising campaign in July,ADVERTISING,6300
